ds,holiday
2015/4/28,Afghan Victory Day
2015/4/29,Ramadan starts
2015/4/30,Eid al-Fitr
2015/5/1,Independence Day (National Day)
2015/5/2,Eid al-Qurban
2015/5/3,Ashura
2015/5/4,The Prophet's Birthday
2016/4/28,Afghan Victory Day
2016/4/29,Ramadan starts
2016/4/30,Eid al-Fitr
2016/5/1,Independence Day (National Day)
2016/5/2,Eid al-Qurban
2016/5/3,Ashura
2016/5/4,The Prophet's Birthday
2017/4/28,Afghan Victory Day
2017/4/29,Ramadan starts
2017/4/30,Eid al-Fitr
2017/5/1,Independence Day (National Day)
2017/5/2,Eid al-Qurban
2017/5/3,Ashura
2017/5/4,The Prophet's Birthday
2018/4/28,Afghan Victory Day
2018/4/29,Ramadan starts
2018/4/30,Eid al-Fitr
2018/5/1,Independence Day (National Day)
2018/5/2,Eid al-Qurban
2018/5/3,Ashura
2018/5/4,The Prophet's Birthday
