ds,holiday
2015/1/1,New Year Day
2015/1/6,Army Day
2015/1/10,Islamic New Year
2015/1/19,Ashura
2015/3/20,Mouloud (Birth of the Prophet)
2015/3/21,Nowruz
2015/5/1,Labor Day
2015/6/26,Eid-al-Fitr holiday
2015/7/14,Republic Day
2015/9/2,Eid-al-Adha holiday
2015/9/22,Islamic New Year
2015/10/1,Ashura
2015/10/3,Iraqi Independence Day
2015/12/1,The Prophet's Birthday
2015/12/25,Christmas Day
2015/12/31,New Year's Eve
2016/1/1,New Year Day
2016/1/6,Army Day
2016/1/10,Islamic New Year
2016/1/19,Ashura
2016/3/20,Mouloud (Birth of the Prophet)
2016/3/21,Nowruz
2016/5/1,Labor Day
2016/6/26,Eid-al-Fitr holiday
2016/7/14,Republic Day
2016/9/2,Eid-al-Adha holiday
2016/9/22,Islamic New Year
2016/10/1,Ashura
2016/10/3,Iraqi Independence Day
2016/12/1,The Prophet's Birthday
2016/12/25,Christmas Day
2016/12/31,New Year's Eve
2017/1/1,New Year Day
2017/1/6,Army Day
2017/1/10,Islamic New Year
2017/1/19,Ashura
2017/3/20,Mouloud (Birth of the Prophet)
2017/3/21,Nowruz
2017/5/1,Labor Day
2017/6/26,Eid-al-Fitr holiday
2017/7/14,Republic Day
2017/9/2,Eid-al-Adha holiday
2017/9/22,Islamic New Year
2017/10/1,Ashura
2017/10/3,Iraqi Independence Day
2017/12/1,The Prophet's Birthday
2017/12/25,Christmas Day
2017/12/31,New Year's Eve
2018/1/1,New Year Day
2018/1/6,Army Day
2018/1/10,Islamic New Year
2018/1/19,Ashura
2018/3/20,Mouloud (Birth of the Prophet)
2018/3/21,Nowruz
2018/5/1,Labor Day
2018/6/26,Eid-al-Fitr holiday
2018/7/14,Republic Day
2018/9/2,Eid-al-Adha holiday
2018/9/22,Islamic New Year
2018/10/1,Ashura
2018/10/3,Iraqi Independence Day
2018/12/1,The Prophet's Birthday
2018/12/25,Christmas Day
2018/12/31,New Year's Eve
