ds,holiday
2015/1/1,New Year's Day
2015/2/5,Kashmir Day
2015/3/13,Holi
2015/3/23,Pakistan Day
2015/4/16,Easter Sunday
2015/4/21,Eid e-Rizwan
2015/4/23,Union Parishad polls
2015/5/1,Labour Day
2015/5/5,Shab e-Barat
2015/6/26,Eid-ul-Fitr Day 3
2015/8/14,Independence Day
2015/9/2,Eid-ul-Azha Day 2
2015/9/30,First Day of Ashura
2015/10/1,Second Day of Ashura
2015/10/19,Diwali/Deepavali
2015/11/9,Iqbal Day
2015/11/10,Chelum
2015/12/1,Eid Milad un-Nabi
2015/12/24,Christmas Eve
2015/12/25,Quaid-e-Azam Day
2016/1/1,New Year's Day
2016/2/5,Kashmir Day
2016/3/13,Holi
2016/3/23,Pakistan Day
2016/4/16,Easter Sunday
2016/4/21,Eid e-Rizwan
2016/4/23,Union Parishad polls
2016/5/1,Labour Day
2016/5/5,Shab e-Barat
2016/6/26,Eid-ul-Fitr Day 3
2016/8/14,Independence Day
2016/9/2,Eid-ul-Azha Day 2
2016/9/30,First Day of Ashura
2016/10/1,Second Day of Ashura
2016/10/19,Diwali/Deepavali
2016/11/9,Iqbal Day
2016/11/10,Chelum
2016/12/1,Eid Milad un-Nabi
2016/12/24,Christmas Eve
2016/12/25,Quaid-e-Azam Day
2017/1/1,New Year's Day
2017/2/5,Kashmir Day
2017/3/13,Holi
2017/3/23,Pakistan Day
2017/4/16,Easter Sunday
2017/4/21,Eid e-Rizwan
2017/4/23,Union Parishad polls
2017/5/1,Labour Day
2017/5/5,Shab e-Barat
2017/6/26,Eid-ul-Fitr Day 3
2017/8/14,Independence Day
2017/9/2,Eid-ul-Azha Day 2
2017/9/30,First Day of Ashura
2017/10/1,Second Day of Ashura
2017/10/19,Diwali/Deepavali
2017/11/9,Iqbal Day
2017/11/10,Chelum
2017/12/1,Eid Milad un-Nabi
2017/12/24,Christmas Eve
2017/12/25,Quaid-e-Azam Day
2018/1/1,New Year's Day
2018/2/5,Kashmir Day
2018/3/13,Holi
2018/3/23,Pakistan Day
2018/4/16,Easter Sunday
2018/4/21,Eid e-Rizwan
2018/4/23,Union Parishad polls
2018/5/1,Labour Day
2018/5/5,Shab e-Barat
2018/6/26,Eid-ul-Fitr Day 3
2018/8/14,Independence Day
2018/9/2,Eid-ul-Azha Day 2
2018/9/30,First Day of Ashura
2018/10/1,Second Day of Ashura
2018/10/19,Diwali/Deepavali
2018/11/9,Iqbal Day
2018/11/10,Chelum
2018/12/1,Eid Milad un-Nabi
2018/12/24,Christmas Eve
2018/12/25,Quaid-e-Azam Day
